Test: breaks,Reps:,300
Random Forest (no bootstrap),Random Forest,Extra Trees,SVM - linear,SVM - RBF,Neural Network,LDA,Naive Bayes,KNN
67.24137931034483,62.06896551724138,63.793103448275865,62.06896551724138,65.51724137931035,65.51724137931035,61.206896551724135,53.44827586206896,59.48275862068966
64.65517241379311,63.793103448275865,65.51724137931035,61.206896551724135,62.06896551724138,57.758620689655174,63.793103448275865,56.03448275862068,59.48275862068966
66.37931034482759,68.96551724137932,66.37931034482759,63.793103448275865,65.51724137931035,68.96551724137932,61.206896551724135,68.96551724137932,67.24137931034483
66.37931034482759,68.10344827586206,65.51724137931035,61.206896551724135,64.65517241379311,62.06896551724138,63.793103448275865,56.03448275862068,68.96551724137932
70.6896551724138,71.55172413793103,66.37931034482759,56.896551724137936,64.65517241379311,68.96551724137932,62.06896551724138,59.48275862068966,68.10344827586206
64.65517241379311,64.65517241379311,63.793103448275865,53.44827586206896,59.48275862068966,62.06896551724138,56.896551724137936,46.55172413793103,68.96551724137932
72.41379310344827,72.41379310344827,73.27586206896551,63.793103448275865,67.24137931034483,60.3448275862069,64.65517241379311,50.86206896551724,71.55172413793103
64.65517241379311,68.10344827586206,60.3448275862069,66.37931034482759,62.93103448275862,64.65517241379311,66.37931034482759,58.620689655172406,63.793103448275865
68.96551724137932,68.10344827586206,68.96551724137932,66.37931034482759,69.82758620689656,64.65517241379311,65.51724137931035,56.896551724137936,64.65517241379311
66.37931034482759,66.37931034482759,68.10344827586206,59.48275862068966,65.51724137931035,57.758620689655174,63.793103448275865,50.86206896551724,67.24137931034483
73.27586206896551,69.82758620689656,63.793103448275865,61.206896551724135,65.51724137931035,56.03448275862068,60.3448275862069,63.793103448275865,64.65517241379311
70.6896551724138,67.24137931034483,72.41379310344827,63.793103448275865,73.27586206896551,73.27586206896551,67.24137931034483,62.93103448275862,69.82758620689656
69.82758620689656,68.96551724137932,65.51724137931035,50.0,65.51724137931035,62.06896551724138,62.06896551724138,52.58620689655172,65.51724137931035
66.37931034482759,68.96551724137932,68.96551724137932,62.93103448275862,65.51724137931035,65.51724137931035,62.93103448275862,58.620689655172406,69.82758620689656
62.93103448275862,62.93103448275862,67.24137931034483,53.44827586206896,62.06896551724138,62.06896551724138,61.206896551724135,46.55172413793103,68.10344827586206
68.96551724137932,72.41379310344827,72.41379310344827,64.65517241379311,67.24137931034483,66.37931034482759,66.37931034482759,56.03448275862068,66.37931034482759
73.27586206896551,74.13793103448276,70.6896551724138,64.65517241379311,67.24137931034483,68.10344827586206,63.793103448275865,62.06896551724138,66.37931034482759
63.793103448275865,66.37931034482759,65.51724137931035,57.758620689655174,60.3448275862069,62.06896551724138,59.48275862068966,56.03448275862068,57.758620689655174
69.82758620689656,72.41379310344827,74.13793103448276,60.3448275862069,70.6896551724138,66.37931034482759,64.65517241379311,61.206896551724135,65.51724137931035
67.24137931034483,65.51724137931035,64.65517241379311,56.03448275862068,62.93103448275862,58.620689655172406,56.896551724137936,55.172413793103445,65.51724137931035
64.65517241379311,64.65517241379311,68.10344827586206,67.24137931034483,67.24137931034483,62.93103448275862,67.24137931034483,54.310344827586206,63.793103448275865
65.51724137931035,68.10344827586206,74.13793103448276,56.03448275862068,64.65517241379311,58.620689655172406,56.896551724137936,52.58620689655172,69.82758620689656
69.82758620689656,71.55172413793103,68.96551724137932,53.44827586206896,58.620689655172406,56.896551724137936,52.58620689655172,49.137931034482754,62.06896551724138
72.41379310344827,68.96551724137932,69.82758620689656,71.55172413793103,72.41379310344827,74.13793103448276,71.55172413793103,56.896551724137936,69.82758620689656
71.55172413793103,69.82758620689656,72.41379310344827,65.51724137931035,64.65517241379311,62.06896551724138,65.51724137931035,63.793103448275865,66.37931034482759
64.65517241379311,62.93103448275862,64.65517241379311,61.206896551724135,65.51724137931035,65.51724137931035,64.65517241379311,62.06896551724138,66.37931034482759
67.24137931034483,62.93103448275862,67.24137931034483,57.758620689655174,61.206896551724135,68.10344827586206,65.51724137931035,59.48275862068966,68.96551724137932
68.10344827586206,60.3448275862069,62.93103448275862,59.48275862068966,60.3448275862069,60.3448275862069,58.620689655172406,52.58620689655172,61.206896551724135
65.51724137931035,67.24137931034483,65.51724137931035,58.620689655172406,69.82758620689656,62.06896551724138,62.93103448275862,54.310344827586206,68.10344827586206
57.758620689655174,57.758620689655174,61.206896551724135,64.65517241379311,60.3448275862069,68.10344827586206,66.37931034482759,62.93103448275862,66.37931034482759
64.65517241379311,68.10344827586206,66.37931034482759,66.37931034482759,64.65517241379311,61.206896551724135,63.793103448275865,62.06896551724138,68.10344827586206
70.6896551724138,68.96551724137932,72.41379310344827,59.48275862068966,68.96551724137932,56.896551724137936,63.793103448275865,53.44827586206896,68.96551724137932
65.51724137931035,69.82758620689656,74.13793103448276,69.82758620689656,65.51724137931035,64.65517241379311,70.6896551724138,54.310344827586206,58.620689655172406
68.96551724137932,66.37931034482759,68.10344827586206,62.06896551724138,70.6896551724138,68.96551724137932,62.06896551724138,58.620689655172406,71.55172413793103
64.65517241379311,61.206896551724135,62.06896551724138,52.58620689655172,59.48275862068966,54.310344827586206,61.206896551724135,50.0,57.758620689655174
69.82758620689656,73.27586206896551,65.51724137931035,61.206896551724135,69.82758620689656,68.10344827586206,68.10344827586206,54.310344827586206,71.55172413793103
69.82758620689656,71.55172413793103,69.82758620689656,66.37931034482759,70.6896551724138,68.96551724137932,64.65517241379311,63.793103448275865,69.82758620689656
65.51724137931035,70.6896551724138,62.93103448275862,63.793103448275865,69.82758620689656,70.6896551724138,68.96551724137932,56.03448275862068,67.24137931034483
68.10344827586206,67.24137931034483,65.51724137931035,61.206896551724135,66.37931034482759,66.37931034482759,65.51724137931035,57.758620689655174,63.793103448275865
68.96551724137932,67.24137931034483,69.82758620689656,59.48275862068966,68.10344827586206,59.48275862068966,60.3448275862069,51.724137931034484,60.3448275862069
68.10344827586206,68.10344827586206,64.65517241379311,62.93103448275862,61.206896551724135,60.3448275862069,60.3448275862069,62.06896551724138,62.93103448275862
72.41379310344827,72.41379310344827,71.55172413793103,57.758620689655174,68.96551724137932,63.793103448275865,62.06896551724138,50.86206896551724,64.65517241379311
71.55172413793103,68.10344827586206,63.793103448275865,65.51724137931035,65.51724137931035,63.793103448275865,67.24137931034483,53.44827586206896,63.793103448275865
69.82758620689656,70.6896551724138,72.41379310344827,61.206896551724135,68.96551724137932,62.93103448275862,65.51724137931035,52.58620689655172,67.24137931034483
71.55172413793103,74.13793103448276,73.27586206896551,60.3448275862069,68.96551724137932,71.55172413793103,64.65517241379311,53.44827586206896,68.96551724137932
68.10344827586206,69.82758620689656,71.55172413793103,71.55172413793103,71.55172413793103,69.82758620689656,65.51724137931035,59.48275862068966,63.793103448275865
68.10344827586206,67.24137931034483,67.24137931034483,56.03448275862068,57.758620689655174,52.58620689655172,55.172413793103445,44.827586206896555,59.48275862068966
67.24137931034483,66.37931034482759,67.24137931034483,57.758620689655174,63.793103448275865,64.65517241379311,67.24137931034483,52.58620689655172,63.793103448275865
64.65517241379311,67.24137931034483,66.37931034482759,66.37931034482759,67.24137931034483,67.24137931034483,66.37931034482759,56.896551724137936,60.3448275862069
73.27586206896551,75.86206896551724,71.55172413793103,69.82758620689656,69.82758620689656,75.86206896551724,68.96551724137932,60.3448275862069,70.6896551724138
63.793103448275865,63.793103448275865,68.96551724137932,56.03448275862068,61.206896551724135,66.37931034482759,61.206896551724135,53.44827586206896,62.93103448275862
69.82758620689656,71.55172413793103,68.96551724137932,65.51724137931035,62.93103448275862,64.65517241379311,62.93103448275862,64.65517241379311,66.37931034482759
62.06896551724138,68.96551724137932,69.82758620689656,54.310344827586206,61.206896551724135,56.896551724137936,57.758620689655174,44.827586206896555,58.620689655172406
67.24137931034483,68.10344827586206,68.96551724137932,62.06896551724138,67.24137931034483,68.96551724137932,65.51724137931035,57.758620689655174,67.24137931034483
72.41379310344827,72.41379310344827,79.3103448275862,68.96551724137932,70.6896551724138,72.41379310344827,70.6896551724138,62.93103448275862,68.10344827586206
68.10344827586206,68.10344827586206,69.82758620689656,56.03448275862068,68.10344827586206,59.48275862068966,57.758620689655174,49.137931034482754,67.24137931034483
65.51724137931035,69.82758620689656,68.96551724137932,64.65517241379311,69.82758620689656,68.96551724137932,66.37931034482759,58.620689655172406,72.41379310344827
