Test: frags,Reps:,300,Numbers correspond to the number of times that algorithm was able to correctly classify that specimen
Specimen,Appearences,Random Forest (no bootstrap),Random Forest,Extra Trees,SVM - linear,SVM - RBF,Neural Network,LDA,Naive Bayes,KNN
MN12AA0511,78,32,37,28,14,28,34,21,75,11
MN12AA0512,80,80,80,80,80,80,80,80,80,80
MN12AA0513,71,61,69,71,40,71,71,60,71,71
MN12AA0514,75,73,71,71,64,52,74,72,72,35
MN12AA0603,81,6,6,15,9,54,60,2,81,17
MN12AA0604,81,65,58,73,81,81,81,81,81,81
MN12AA0605,66,48,50,51,55,60,54,50,66,64
MN12AA0606,90,5,1,0,6,0,0,34,0,0
MN12AA0607,85,0,0,0,0,0,0,0,0,0
MN12AA0608,72,37,17,31,72,51,43,70,0,70
MN12AA0609,93,0,0,0,58,0,0,93,0,0
MN12AA0703,99,99,99,99,99,99,99,99,99,99
MN12AA0704,85,61,67,74,83,84,83,85,85,78
MN12AA0802,75,75,75,75,75,75,75,75,75,75
MN12AA0803,79,79,79,79,79,76,79,79,79,79
MN12AA0804,84,84,84,84,84,84,84,84,84,84
MN12AA0805,71,71,71,69,53,71,70,66,71,70
MN12AA0806,86,85,85,86,86,86,86,86,86,86
MN12AA1002,69,69,69,69,10,51,66,12,67,64
MN12AA1003,72,65,68,66,71,72,72,72,72,67
MN12AA1004,88,88,88,88,88,88,88,88,88,88
MN12AA1005,81,24,26,43,81,81,81,81,81,81
MN12AA1007,73,73,73,73,73,73,73,73,73,73
MN12AA1008,77,71,61,71,6,34,61,2,77,25
MN12AA1102,71,71,71,71,71,71,71,71,71,71
MN12AA1103,68,63,60,62,50,67,68,0,68,58
MN12AA1104,78,19,18,19,70,38,60,3,78,64
MN12AA1105,83,83,81,76,82,83,83,83,83,68
MN12AA1106,83,83,83,83,56,83,83,44,83,83
MN12AA1107,63,63,62,63,63,63,63,63,63,63
MN12AA1108,79,79,79,78,78,79,79,79,79,79
MN12AA1109,87,0,0,0,0,0,0,0,0,0
MN12AA1110,69,68,68,69,69,69,69,69,69,69
MN12AA1111,68,57,61,55,0,15,30,0,68,68
MN12AA1112,68,68,68,68,68,68,68,68,68,68
MN12AA1113,84,22,10,5,0,5,0,0,0,0
MN12AA5603,73,73,73,73,61,73,73,13,73,73
MN12AA5604,81,13,8,16,4,11,0,23,0,18
MN12AA5606,80,73,77,76,78,80,79,78,17,41
MN12AA5607,77,54,62,40,72,76,62,77,3,5
MN12AA5703,75,75,75,75,75,75,75,75,75,75
MN12AA5704,78,78,78,78,77,78,78,78,78,78
MN12AA5705,75,1,0,0,52,0,0,45,0,4
MN12AA5707,82,58,81,53,80,82,82,74,82,62
MN12AA5803,69,36,28,36,69,66,22,68,0,32
MN12AA5804,76,33,23,30,76,3,1,13,0,4
MN12AA5806,86,15,13,34,76,37,1,69,0,64
MN12AA5807,81,0,0,0,10,0,0,1,0,0
MN12AA5809,86,6,14,13,85,30,24,85,0,8
MN12AA5903,84,84,84,84,84,84,84,72,84,84
MN12AA5904,74,74,74,74,74,74,74,74,74,74
MN12AA5905,77,77,77,77,77,77,77,77,77,77
MN12AA5906,75,75,75,75,73,75,75,75,75,75
MN12AA6002,68,68,68,68,68,68,68,68,68,68
MN12AA6003,72,72,72,72,72,72,72,72,72,72
MN12AA6004,69,69,69,69,69,69,69,69,69,69
MN12AA6005,84,83,84,81,39,68,11,63,0,83
MN12AA6006,92,92,92,92,56,92,92,14,92,92
MN12AA6010,77,73,77,75,77,77,77,77,75,77
MN12AA6011,60,60,60,60,60,60,60,60,60,60
MN12AA6017,73,50,23,38,69,72,73,73,0,57
MN12AA6203,65,65,65,65,65,65,65,65,64,65
MN12AA6204,65,65,65,65,65,65,65,65,65,65
MN12AA6206,69,14,25,37,69,10,0,69,0,26
MN12AA6207,67,64,64,61,17,65,26,34,58,44
MN12AA6303,75,75,75,75,75,75,75,75,75,75
MN12AA6304,70,70,70,70,68,70,70,65,70,70
MN12AA6310,73,73,73,73,64,73,73,70,73,73
MN12AA6311,65,65,65,65,65,65,65,65,63,65
MN12AA6402,79,79,79,79,79,79,79,78,79,79
MN12AA6403,45,45,45,45,45,45,45,45,45,45
MN12AA6404,59,59,59,59,59,59,59,59,59,59
MN12AA6405,70,65,60,62,13,66,39,1,0,32
MN12AA6406,81,81,81,81,81,81,81,81,81,81
MN12AA6503,75,75,75,75,75,75,75,75,75,75
MN12AA6507,86,11,2,0,3,0,0,2,0,0
MN13AA0103,79,79,79,79,79,79,79,79,79,79
MN13AA0104,69,69,69,69,69,69,69,69,69,69
MN13AA0105,76,76,76,76,76,76,76,76,76,76
MN13AA0107,70,67,60,64,70,70,69,70,0,70
MN13AA0108,71,70,71,71,49,70,71,37,8,71
MN13AA0110,78,78,78,78,65,78,78,44,78,77
MN13AA0119,62,62,62,62,62,62,62,60,62,62
MN13AA0205,66,54,60,54,59,60,19,54,0,30
MN13AA0206,69,69,69,66,69,69,69,69,36,47
MN13AA0207,88,0,3,11,56,88,16,76,0,16
MN13AA0210,70,70,70,70,70,70,70,70,46,70
MN13AA0309,85,85,85,85,85,85,85,85,85,85
MN13AA0413,77,77,77,77,29,74,69,30,2,76
MN13AA0414,81,81,81,81,47,81,81,54,48,81
MN13AA0508,76,76,76,76,5,75,76,1,76,70
MN13AA0606,80,42,67,77,78,80,74,79,80,80
MN13AA0608,64,64,64,64,64,64,64,64,60,64
MN13AA0704,63,63,63,63,59,63,63,60,63,43
MN13AA0705,77,77,77,70,76,25,5,73,0,74
MN13AA0707,72,72,72,72,72,72,72,72,72,72
MN13AA0708,73,69,73,72,67,52,9,73,26,54
MN13AA0709,67,67,67,67,67,67,67,67,61,67
MN13AA0710,81,80,81,81,80,78,76,80,81,81
MN13AA0712,76,76,76,76,76,72,69,76,8,70
MN13AA0803,77,77,77,77,77,77,77,77,77,77
MN13AA0804,82,82,82,82,82,82,82,82,82,82
MN13AA0805,63,63,63,63,63,63,63,63,63,63
MN13AA0904,76,76,76,76,76,76,76,72,76,76
MN13AA0907,73,73,73,73,42,73,73,56,73,73
MN13AA0909,80,80,80,79,74,80,80,80,80,79
MN13AA0911,79,79,79,79,79,79,79,79,79,79
MN13AA1011,80,80,80,80,80,80,78,80,0,80
MN13AA1018,79,79,79,79,79,79,79,79,79,79
MN13AA1019,79,79,79,79,79,79,79,79,42,78
MN13AA1307,73,31,25,35,62,26,1,31,0,19
MN13AA1309,93,92,93,93,93,93,93,93,90,93
MN13AA1311,77,0,0,0,0,0,0,0,0,5
MN13AA1314,72,72,72,72,72,72,72,62,72,72
MN13AA1407,81,81,81,81,81,81,81,81,81,81
MN13AA1409,82,82,82,82,82,82,82,82,82,82
MN13AA1411,78,78,78,78,78,78,78,78,78,78
MN13AA1412,68,68,68,68,68,68,68,68,5,68
MN13AA1413,81,81,81,81,81,81,81,81,81,81
MN13AA1414,72,72,72,72,72,72,72,72,72,72
MN13AA1415,83,47,45,47,26,78,69,2,0,83
MN13AA1416,74,74,74,74,74,74,74,74,74,74
MN13AA1425,71,71,71,71,36,71,71,18,71,71
MN13AA1428,71,71,71,71,71,71,71,71,71,71
MN13AA1504,79,79,79,79,79,79,79,79,79,79
MN13AA1505,94,94,94,94,89,94,94,94,94,94
MN13AA1506,77,77,77,77,77,77,77,77,77,77
MN13AA1507,91,91,91,91,73,91,91,90,91,91
MN13AA1605,76,76,76,76,76,76,76,76,76,76
