Method,Split Type,Number of Fragments,Number of Breaks Per Fragment,Number of Features,Accuracy
SVM,frag-level,1000,5,20,0.520000
RF,break-level,1000,5,50,1.000000
SVM,break-level,1000,5,50,0.580000
RF,frag-level,1000,5,50,0.492000
SVM,frag-level,1000,5,50,0.472000
RF,break-level,1000,5,100,1.000000
SVM,break-level,1000,5,100,0.590400
RF,frag-level,1000,5,100,0.556000
SVM,frag-level,1000,5,100,0.540000
RF,break-level,1000,10,10,1.000000
SVM,break-level,1000,10,10,0.505200
RF,frag-level,1000,10,10,0.436000
SVM,frag-level,1000,10,10,0.456000
RF,break-level,1000,10,20,1.000000
SVM,break-level,1000,10,20,0.565200
RF,frag-level,1000,10,20,0.484000
SVM,frag-level,1000,10,20,0.484000
RF,break-level,1000,10,50,1.000000
SVM,break-level,1000,10,50,0.598000
RF,frag-level,1000,10,50,0.456000
SVM,frag-level,1000,10,50,0.492000
RF,break-level,1000,10,100,1.000000
SVM,break-level,1000,10,100,0.623200
RF,frag-level,1000,10,100,0.476000
SVM,frag-level,1000,10,100,0.448000
RF,break-level,1000,20,10,1.000000
SVM,break-level,1000,20,10,0.528200
RF,frag-level,1000,20,10,0.488000
SVM,frag-level,1000,20,10,0.528000
RF,break-level,1000,20,20,1.000000
SVM,break-level,1000,20,20,0.521000
RF,frag-level,1000,20,20,0.536000
SVM,frag-level,1000,20,20,0.512000
RF,break-level,1000,20,50,1.000000
SVM,break-level,1000,20,50,0.599400
RF,frag-level,1000,20,50,0.540000
SVM,frag-level,1000,20,50,0.584000
RF,break-level,1000,20,100,1.000000
SVM,break-level,1000,20,100,0.648000
RF,frag-level,1000,20,100,0.492000
SVM,frag-level,1000,20,100,0.492000
RF,break-level,100,2,10,0.880000
SVM,break-level,100,2,10,0.660000
RF,frag-level,100,2,10,0.680000
SVM,frag-level,100,2,10,0.520000
RF,break-level,100,2,20,0.880000
SVM,break-level,100,2,20,0.560000
RF,frag-level,100,2,20,0.640000
SVM,frag-level,100,2,20,0.680000
RF,break-level,100,2,50,0.800000
SVM,break-level,100,2,50,0.480000
RF,frag-level,100,2,50,0.440000
SVM,frag-level,100,2,50,0.400000
RF,break-level,100,2,100,0.840000
SVM,break-level,100,2,100,0.840000
RF,frag-level,100,2,100,0.600000
SVM,frag-level,100,2,100,0.600000
RF,break-level,100,5,10,1.000000
SVM,break-level,100,5,10,0.568000
RF,frag-level,100,5,10,0.280000
SVM,frag-level,100,5,10,0.400000
RF,break-level,100,5,20,1.000000
SVM,break-level,100,5,20,0.576000
RF,frag-level,100,5,20,0.600000
SVM,frag-level,100,5,20,0.680000
RF,break-level,100,5,50,1.000000
SVM,break-level,100,5,50,0.840000
RF,frag-level,100,5,50,0.560000
SVM,frag-level,100,5,50,0.400000
RF,break-level,100,5,100,1.000000
SVM,break-level,100,5,100,0.968000
RF,frag-level,100,5,100,0.520000
SVM,frag-level,100,5,100,0.600000
RF,break-level,100,10,10,1.000000
SVM,break-level,100,10,10,0.696000
RF,frag-level,100,10,10,0.560000
SVM,frag-level,100,10,10,0.600000
RF,break-level,100,10,20,1.000000
SVM,break-level,100,10,20,0.684000
RF,frag-level,100,10,20,0.640000
SVM,frag-level,100,10,20,0.640000
RF,break-level,100,10,50,1.000000
SVM,break-level,100,10,50,0.864000
RF,frag-level,100,10,50,0.560000
SVM,frag-level,100,10,50,0.600000
RF,break-level,100,10,100,1.000000
SVM,break-level,100,10,100,1.000000
RF,frag-level,100,10,100,0.560000
SVM,frag-level,100,10,100,0.560000
RF,break-level,100,20,10,1.000000
SVM,break-level,100,20,10,0.704000
