Test: breaks,Reps:,300,Numbers correspond to the number of times that algorithm was able to correctly classify that specimen
Specimen,Appearences,Random Forest (no bootstrap),Random Forest,Extra Trees,SVM - linear,SVM - RBF,Neural Network,LDA,Naive Bayes,KNN
MN14AA0313,81,81,81,81,81,81,77,81,68,81
MN14AA0314,91,80,73,81,0,16,7,0,0,36
MN14AA0317,74,68,69,73,0,0,9,4,0,67
MN14AA0405,69,69,69,69,69,69,69,69,69,69
MN14AA0406,61,23,18,8,0,0,0,0,0,0
MN14AA0407,85,0,0,1,42,24,11,70,0,32
MN14AA0408,85,35,22,5,45,0,15,59,0,10
MN14AA0501,79,58,65,51,1,31,79,0,79,60
MN14AA0506,75,75,75,75,75,75,75,75,75,75
MN14AA0507,79,79,79,79,79,79,79,79,79,79
MN14AA0508,64,64,64,63,55,64,64,64,0,59
MN14AA0509,56,56,56,56,56,56,56,56,56,56
MN14AA0510,71,71,71,71,71,71,71,71,71,71
MN14AA0511,81,81,81,81,81,81,81,81,24,81
MN14AA0513,72,72,72,72,72,72,62,72,1,43
MN14AA0514,67,5,3,12,0,1,0,1,0,2
MN14AA0607,70,70,70,70,70,70,70,70,70,70
MN14AA0608,76,76,76,76,76,76,76,76,76,76
MN14AA0609,87,87,87,87,87,87,87,87,87,72
MN14AA0610,79,27,25,32,51,48,39,78,78,9
MN14AA0611,84,13,15,10,0,1,2,1,0,62
MN15010403,69,69,69,69,69,69,69,69,69,69
MN15010405,79,14,3,4,0,0,0,0,0,0
MN15AA2402,74,3,4,0,53,0,0,34,0,0
MN15AA2403,66,0,1,0,0,0,0,0,65,0
MN15AA2405,86,86,86,56,86,84,81,86,86,19
MN15AA2406,75,59,51,58,0,0,38,0,75,28
MN15AA2407,73,0,0,0,72,51,60,73,73,12
MN15AA2408,64,15,21,1,64,7,16,64,64,14
MN15AA2502,81,0,0,1,81,60,2,81,0,15
MN15AA2504,91,0,0,0,91,85,81,91,91,39
MN15AA2505,60,51,49,57,58,58,49,58,60,56
MN15AA2506,83,2,2,1,33,16,6,11,0,55
MN15AA2702,63,54,54,63,6,63,63,44,62,63
MN15AA2703,79,78,78,79,77,79,66,72,78,77
MN15AA2704,68,61,60,66,37,65,58,17,68,63
MN15AA2705,62,0,0,0,37,32,23,14,62,2
MN15AA2706,91,17,24,59,91,86,90,91,91,91
MN15AA2707,69,4,4,3,43,2,15,28,68,11
MN15AA2708,69,63,60,65,42,60,59,49,67,48
MN15AA2709,72,68,70,65,6,0,31,0,72,58
MN15AA2802,78,0,0,0,0,8,22,1,0,57
MN15AA2803,89,83,85,89,55,84,87,22,89,89
MN15AA2804,62,37,42,32,61,61,56,47,62,59
MN15AA2902,78,3,3,4,75,50,70,59,78,54
MN15AA2903,84,20,20,6,71,11,53,25,84,52
MN15AA3203,67,41,50,17,45,14,35,62,64,25
MN15AA3302,80,22,25,3,80,73,0,80,0,29
MN15AA3303,77,62,65,75,63,68,73,30,77,75
MN15AA3305,72,8,10,11,72,22,21,72,72,17
MN15AA3311,64,10,10,16,64,56,64,64,64,58
MN15AA3401,78,0,0,0,0,0,0,0,0,0
MN15AA3403,78,0,0,0,1,0,10,13,0,57
MN15AA3408,74,4,8,42,5,54,67,0,60,74
MN15AA3409,71,1,2,1,0,0,2,0,71,28
MN15AA3410,68,68,66,63,68,68,37,68,65,56
MN15AA3411,78,0,0,0,5,0,0,1,0,0
MN15AA3412,79,23,18,1,15,0,0,1,77,0
MN15AA3413,82,12,24,40,80,82,82,68,82,82
MN15AA3414,75,10,8,6,75,73,71,75,75,52
MN15AA3415,67,45,48,66,65,67,67,49,67,67
MN15AA3416,67,48,46,51,55,46,65,22,67,64
MN18030703,65,57,62,47,61,63,61,63,25,45
MN18030705,85,0,0,0,9,3,2,4,0,2
MN18030708,83,32,34,42,4,34,8,36,0,12
MN18050302,73,0,0,0,56,5,4,72,0,17
MN18050305,81,1,0,0,51,0,0,21,80,0
MN18050306,75,33,44,70,69,52,54,63,75,54
MN18050308,76,75,76,56,76,46,76,76,76,52
MN18050309,82,52,55,31,81,39,67,81,80,59
MN18050310,76,24,21,31,70,58,76,33,76,75
MN18050311,81,13,26,56,81,81,80,78,81,81
MN18050312,63,4,2,0,0,0,9,0,6,0
MN18050313,75,60,64,73,75,75,75,75,75,75
MN18050314,75,29,8,1,16,0,2,9,1,0
MN18050316,68,53,59,47,67,66,65,67,68,53
MN18050317,75,75,75,74,75,75,73,75,75,72
MN18050318,70,67,68,64,70,70,68,70,70,70
MN19050201,56,6,3,1,42,51,11,31,56,50
MN19050202,65,65,65,65,64,65,37,64,65,65
MN19050205,87,51,58,25,87,70,85,87,87,78
MN19050206,60,30,26,31,25,31,12,13,20,39
MN19050207,79,44,49,68,76,79,61,66,79,78
MN19050208,63,63,63,63,63,63,63,63,63,62
MN19050209,76,6,9,6,23,30,36,2,76,49
MN19050210,87,87,87,80,87,87,40,87,80,76
MN19050211,73,70,72,73,49,56,48,36,29,72
MN19050212,78,75,78,78,78,78,78,78,78,78
MN19050213,77,40,59,77,77,77,77,72,77,77
MN19050214,76,74,76,76,75,76,75,76,76,76
MN19050215,73,65,70,73,53,69,67,44,69,67
MN19050216,87,87,87,84,87,87,76,86,87,86
MN19050217,74,0,0,2,59,0,5,14,73,14
MN19050218,77,77,77,77,77,77,75,72,77,77
MN19050219,79,77,79,79,79,79,79,79,79,79
MN19050220,79,79,79,79,79,79,79,78,79,79
MN19050222,92,89,92,92,91,91,92,92,92,92
MN19050223,66,48,51,61,66,66,66,66,66,66
MN19050224,76,36,50,20,76,73,76,76,76,75
MN19050226,78,63,67,78,78,78,78,77,78,78
MN19050227,72,70,70,72,70,72,72,62,72,72
MN19050228,64,63,63,62,58,61,59,52,64,14
MN19050229,78,75,73,76,78,77,75,77,78,65
MN19050230,71,64,65,70,71,71,71,71,71,68
MN19050231,65,13,13,1,55,2,28,42,65,7
MN19050232,85,80,82,81,85,85,81,85,85,60
MN19050233,72,72,72,72,72,72,72,72,72,66
MN19050234,83,46,52,31,82,83,81,82,83,80
MN19050235,76,12,30,65,76,76,75,75,76,74
MN19050237,72,70,72,65,71,64,63,71,71,57
MN19050238,60,43,45,5,60,27,14,60,60,1
MN19050240,86,55,59,79,86,86,84,86,86,86
MN19050241,75,30,36,58,75,74,68,75,75,58
MN19050242,63,53,57,53,63,63,63,63,63,58
MN19050243,72,0,0,0,72,71,67,72,72,64
MN19050244,75,4,4,5,75,73,72,75,75,54
MN19050245,70,1,0,1,70,30,56,70,70,31
MN19080801,83,80,82,83,82,83,82,78,83,83
MN19080802,80,80,80,80,80,80,75,80,80,80
MN19080803,76,38,55,74,73,76,76,69,76,76
MN19080804,79,30,39,73,19,28,53,1,79,77
MN19080805,71,71,71,71,71,71,71,71,71,70
MN19080806,72,72,72,72,72,72,72,72,72,72
MN19080807,74,0,1,1,72,26,15,71,74,20
MN19080808,73,73,73,71,73,73,72,73,73,73
MN19080813,74,74,74,74,74,74,72,74,74,74
MN19080814,68,52,59,59,68,68,68,68,68,68
MN19080817,75,46,48,51,75,74,70,73,75,70
MN19081015,71,11,12,5,71,49,19,71,71,2
MN19081016,91,77,85,78,91,91,91,91,91,79
MN19081018,76,6,17,18,76,76,74,76,76,24
MN19081020,91,5,1,19,89,18,91,91,91,35
