Specimen,Break Count,interior_edge_endosteal,interior_edge_break,Interrupted_False,Interrupted_True,ridge_notch_False,ridge_notch_True,interior_notch_False,interior_notch_True,Mean_min,Mean_max,Mean_mean,Mean_median,Mean_std,Median_min,Median_max,Median_mean,Median_median,Median_std,STD_min,STD_max,STD_mean,STD_median,STD_std,Max_min,Max_max,Max_mean,Max_median,Max_std,Min_min,Min_max,Min_mean,Min_median,Min_std,Range_min,Range_max,Range_mean,Range_median,Range_std,ArcLength_min,ArcLength_max,ArcLength_mean,ArcLength_median,ArcLength_std,EuclideanLength_min,EuclideanLength_max,EuclideanLength_mean,EuclideanLength_median,EuclideanLength_std,ArcAngle_min,ArcAngle_max,ArcAngle_mean,ArcAngle_median,ArcAngle_std,Species,Common,SzCl,SizeRangeLb,SizeRangeKg,SkelPort,LPort,Element,Side,ActorTaxon,Effector,trab,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3
MN10AA0403,11,11,0,11,0,11,0,11,0,69.84626,127.71865200000002,101.58338147028253,98.245594,19.665725223191885,69.84626,132.085327,102.88940522727272,98.245594,19.978156446147473,0.0,33.09045161223774,10.1465895499538,7.516040742493906,9.79132863877833,69.84626,160.890732,117.24560754545456,115.408882,27.82455216513755,47.156315,126.844879,86.6254780909091,83.527512,22.23433441146924,0.0,103.90710099999998,30.62012945454546,21.323746,32.100094994949345,4.302172902729617,78.79640883761046,22.564477033732302,11.777015046128707,24.886914517118488,4.228448983965631,76.35219548572263,21.127111324553443,10.491973161422024,24.23387957955329,11.099607897274156,83.45473437023858,37.43737220558203,32.601010918603514,22.309498630941377,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,6964.74365234375,16603.479166666668,102.0496826171875,28.94338417053223,21.16525077819824
MN10AA0503,3,3,0,3,0,3,0,3,0,96.58088032075472,104.23209382758623,100.17622358278031,99.71569659999999,3.140523402044294,96.10463,101.047249,98.48953533333334,98.316727,2.0215122532141323,4.231526273955084,15.72019155425821,11.107400911571041,13.370484906499831,4.955705086516467,106.45126299999998,138.716721,127.14299,136.260986,14.665568139454024,49.40234,94.719238,72.95675533333333,74.748688,18.543886289862066,11.73202499999998,86.858646,54.18623466666667,63.96803300000001,31.440578659803247,19.249511123663414,135.4855101131448,74.54386779217329,68.89658213971164,47.620868966599474,19.07728719341405,47.244631997825955,32.80291143097646,32.08681510168936,11.510413366376014,13.129118146942456,55.1931667088471,27.405291699506318,13.893590242729392,19.65147327042545,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,False,5416.93408203125,11039.860677083336,72.26539611816406,28.836929321289066,26.350297927856445
MN10AA0506,4,4,0,4,0,4,0,4,0,60.5321792,111.07264928571428,79.30191398214285,72.80141372142859,19.525406595940666,59.608681,115.346283,79.68243125000001,71.8873805,21.696206991133412,4.115703344306754,14.666320328988855,8.417964279653313,7.444916722658824,4.030473742779084,67.55117800000001,121.814552,91.59735875,88.5118525,22.335467608620032,52.91172,95.783241,66.3664465,58.3854125,17.25541273046696,11.616779,48.636101000000004,25.230912250000003,20.335384500000004,14.542756150922068,19.21723021462873,32.243380420522506,24.968410565597893,24.206515813620168,4.825463004605706,19.149877193601004,31.72644272212061,23.63159246573688,21.825024973612955,4.835723578568965,6.9511216617134055,83.61334270863945,37.33443129247961,29.386630399782796,29.886753081975222,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,False,1480.5614013671875,2642.7721354166665,37.46190643310547,22.76603698730469,9.324125289916992
MN10AA0603,12,12,0,12,0,12,0,12,0,50.8236615,155.34799866666668,99.30493761543147,95.87927350000001,31.972284836144087,50.8236615,160.192596,100.001408875,95.020119,32.84122338913994,0.0,21.93888433735068,8.074656282100106,8.206286681022984,6.610244061577972,53.923038,170.245911,110.17468774999998,115.1633265,37.37503977974371,47.724285,142.104919,86.28013133333332,84.217926,29.474730389277855,0.0,61.218132,23.89455641666667,22.250831500000004,20.8303244609196,2.9391759579195864,61.28497855520344,18.99312693405896,13.147462596569213,15.505603856264207,2.882099026751166,60.19340633566105,17.715297786346373,12.33656701365068,15.162410373078506,2.2724403105161612,79.40700433242954,29.913816367863713,24.9536097226514,25.617950616761124,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,False,4389.37109375,8649.932291666666,80.60890197753906,25.305950164794922,17.25242042541504
MN10AA0604,3,3,0,3,0,3,0,3,0,43.74083730769231,87.90534564705881,72.34755996976553,85.39649695454546,20.25392170320045,39.747772,86.436844,68.22132749999999,78.4793665,20.394245661451283,4.276652917117144,21.22280514300242,13.468128774104725,14.904928262194609,6.992439411843368,76.927963,126.501122,100.51219933333334,98.107513,20.309462664500508,25.006571,83.39874300000002,56.18690333333334,60.155396,24.003098942337104,14.708769999999989,66.345726,44.325296,51.92139200000001,21.75422276352182,40.692111674352006,71.68516729633079,56.61973917568188,57.48193855636283,12.667541593269064,22.321594323882877,68.87393186874118,49.42435988058967,57.077553449144965,19.760373842127212,5.477212020977863,47.469995393832995,20.891468457854778,9.727197958753477,18.87377661700156,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,False,2784.711181640625,4587.419596354167,85.49540710449219,19.725738525390625,8.67706298828125
MN10AA0607,5,5,0,5,0,5,0,5,0,74.80849046666665,109.39109033333334,93.80915988857143,91.578855,12.707447028855386,74.603882,109.297745,94.4402406,95.784294,13.432002586248911,0.7622580130403496,18.913859560028683,9.75594901305573,11.001730347200503,6.234853662655982,87.519302,119.592087,107.24727619999999,110.367828,10.752681085855501,64.378265,108.507698,76.253755,68.537582,16.38984582884824,1.8601299999999978,51.054505000000006,30.993521199999996,33.158821,17.523659065810754,6.824059607210205,39.494658363036656,21.91255876331123,14.942858385414645,14.195090491187443,6.8059268656076535,38.10795677388122,20.278945818799986,9.364895568558149,14.542983515158591,4.924357971292573,71.67670658689343,41.38198579886717,57.50566632882456,26.784602331032957,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,False,1221.955322265625,2029.865397135417,43.3854866027832,12.566452026367188,10.962654113769533
MN10AA0705,7,7,0,7,0,7,0,7,0,58.07832818181817,135.2900023125,86.75653269960846,84.94080535294118,24.343522889349092,59.372383,139.416626,86.98345707142857,84.073784,25.41675482427844,0.4843368994085318,21.287687217691158,9.143975089491837,6.137327866302912,6.6512748579275796,65.506119,159.332748,99.16882114285715,97.435768,28.75092005096288,48.643642,99.001686,72.72419442857144,76.765251,19.027227472819224,1.0518650000000065,62.64629300000001,26.44462671428572,20.670517000000004,18.812861317638347,10.09757001541499,58.50861544220584,29.813553133596002,28.38877507215809,14.354911034956405,10.003422755237331,58.24455908786675,25.34921500809369,20.547121660222874,15.04514178252551,2.7851270600106717,66.03149902477936,25.0566705608771,14.196453560481164,23.935456779099365,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,False,3848.44140625,6605.420572916668,81.53912353515625,23.32201385498047,13.811296463012695
MN10AA0706,5,5,0,5,0,5,0,5,0,84.76619000000002,150.480324,103.73305286666668,97.043854,23.93636789351033,84.76619000000002,150.480324,103.66262980000002,95.329269,23.792532606444635,0.0,11.18430560173697,5.155093447217547,6.98835563435075,4.446426050011776,84.76619000000002,158.08313,115.39793420000001,98.016678,28.14299802074083,73.662384,142.87751799999995,97.82741719999999,90.78714,23.80855116112071,0.0,48.29267899999998,17.570517000000002,15.205612000000029,17.960566690912483,3.0570878497836644,60.087853919487884,25.307473148294658,7.751276724851688,25.111887257051006,3.017953175581102,58.59524460858578,24.77759221234668,6.876790318891512,24.794325034544844,4.290564976116301,83.15597398693576,35.7176164602002,27.131476891740647,30.518016659426817,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,False,1689.5548095703125,2615.29443359375,66.79653930664061,13.228632926940918,8.350238800048826
MN10AA0707,6,6,0,6,0,6,0,6,0,76.97385025,154.60888649999995,100.64315044596702,86.82865980113637,27.44722425330956,75.1019365,154.60888649999995,101.86393733333331,85.89860524999999,30.506484363280038,1.0311289140125481,54.68623591741276,17.127429313423416,9.445611223361947,18.057834351787097,78.32265500000003,176.23152199999996,124.24569833333332,115.61393,34.47892441173694,33.37167,148.57759099999996,75.91093883333333,70.79364000000001,35.45658711980079,2.601792000000017,142.859852,48.3347595,31.3790245,47.324537375586345,10.090191939503743,37.615779240094035,25.045973484656912,24.629126264886608,10.098098523924694,9.683977150943708,35.445715313842946,21.13458955510554,19.911479022586136,8.307383900516287,2.078912736120601,52.37864639613207,24.562821122430066,24.179216069042297,15.578489089163313,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,False,2414.422119140625,4510.836263020833,56.289306640625,21.069808959960934,15.11334991455078
MN10AA0708,5,5,0,5,0,5,0,5,0,85.54414399999997,135.5625,115.25971542467532,115.85738421428572,16.98011225253588,85.54414399999997,147.300003,120.5847612,117.465088,20.919339945009757,0.0,31.468995661519628,10.629983432408926,7.3940505179635085,11.69702196811525,85.54414399999997,167.983139,129.25932159999996,132.075439,26.36380554509778,71.903816,135.5625,96.49477239999999,85.54414399999997,22.18085782070147,0.0,83.321609,32.76454919999999,27.273566999999986,32.09963791060942,4.540944805896163,35.14256995382719,21.903055800240846,30.777513744081173,13.21967168178653,4.483336299007691,32.6638109315187,17.39578805083601,14.478576864802706,11.280949234988658,7.066183520824477,71.6852932014993,32.416492678246904,32.85393679858023,22.933926317925188,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,False,1668.5087890625,2293.3922526041665,50.87493133544922,19.29383659362793,8.466516494750978
