Specimen,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3,nv a 1,nv a 2,nv a 3,nv b 1,nv b 2,nv b 3,nv c 1,nv c 2,nv c 3
MN10AA2805,1943.5392,3412.2151692708335,56.46458,19.4547,9.710851,6.640608e-05,0.060696643,0.99815625,-0.97283304,0.2310849,-0.013987265,0.23150782,0.97103846,-0.059063043
MN19050244,1116.9414,1798.26220703125,37.284527,14.187664,9.199245,0.031685237,-0.14189364,-0.9893747,-0.9963253,0.07432324,-0.042567085,-0.07957353,-0.9870878,0.13901728
MN13AA1409,5652.3125,11424.51953125,115.75749,24.2431,18.984295,3.5070595e-06,-3.179579e-06,-1.0,8.008763e-06,-1.0,3.179607e-06,1.0,8.008774e-06,3.507034e-06
MN18050306,3068.7007,4024.6761067708335,68.09052,27.388554,9.748079,0.09917029,0.010499602,0.9950151,0.9900896,0.09888382,-0.09972282,0.099437945,-0.9950436,0.0005892093
MN12AA0203,5132.5483,9993.170572916666,97.2829,31.073448,16.609102,0.12304996,0.02760066,-0.9920166,0.9923717,0.00419132,0.123210624,-0.0075585535,0.99961025,0.026874373
MN12AA0609,1294.3988,1686.9376627604167,52.938133,14.900687,12.724276,-0.014710891,-0.04438558,-0.99890614,0.91819376,-0.39611062,0.0040786113,0.39585838,0.9171294,-0.0465817
MN12AA0210,1017.47766,1359.5764973958333,26.529701,21.666786,7.86345,0.11784559,0.014120014,0.99293154,0.9905053,0.06961156,-0.118547544,-0.070793405,0.99747425,-0.0057825334
MN10AA1007,1410.6874,2264.4554036458335,41.3656,17.401978,10.738619,0.12648287,0.09680514,0.98723394,-0.9658996,0.23868142,0.10034517,0.22592048,0.9662608,-0.12369316
MN10AA2504,4167.5425,6823.033854166667,79.99819,30.582336,10.358,0.12386896,-0.07013867,0.98981667,-0.99125636,-0.054452334,0.12019062,-0.04546782,0.99604994,0.07627036
MN12AA5707,3108.366,5266.823893229167,54.485233,36.186638,14.485708,0.1420624,0.026457623,0.98950404,0.98564726,0.088322595,-0.14387026,0.09120203,-0.9957405,0.0135305645
MN10AA0908,1389.6113,1829.2478841145833,46.819843,15.401802,8.940788,0.08317931,-0.08351235,-0.9930292,-0.97923404,0.178024,-0.09699536,-0.18488333,-0.98047596,0.06697022
MN19050223,1648.1672,2269.6990559895835,73.4996,10.655447,8.100605,0.012529897,0.056514792,-0.99832314,0.9958851,0.08891298,0.017532635,-0.08975474,0.9944348,0.05516817
MN10AA2806,1954.1086,3164.6263020833335,62.94237,18.517876,7.41638,0.1587826,-0.05228628,0.9859281,-0.97110534,0.17192948,0.16551328,0.17816418,0.9837207,0.023476074
MN18050313,1439.4957,1903.2776692708333,58.42665,18.475319,6.2990146,0.036776442,-0.061819576,-0.9974096,0.99802923,0.05305354,0.033511028,-0.05084447,0.9966763,-0.063648865
MN14AA0207,1894.0635,2226.80712890625,38.31607,30.222994,8.939302,0.31761667,-0.06600684,0.945919,-0.9467429,0.033569835,0.32023585,0.052892104,0.9972543,0.051829167
MN10AA3004,701.0307,665.2237548828125,46.61066,11.849664,5.131685,0.09720591,0.005183153,-0.9952508,-0.9915247,0.08710926,-0.096388325,-0.08619596,-0.9961853,-0.013606759
MN14AA0408,3403.971,7630.45703125,75.29877,22.332365,10.858578,0.071140446,0.023846056,0.99718124,-0.99675655,0.039405737,0.070167825,0.037621435,0.99893874,-0.026572056
MN12AA0303,820.27515,890.9064127604166,34.75689,14.762732,5.835227,0.13561808,-0.11402002,0.9841784,-0.99074596,-0.021115772,0.13407674,-0.005494254,0.993254,0.11582856
MN12AA0106,2742.731,4285.935872395833,64.56014,25.857367,12.3991,0.104916774,0.008111612,-0.99444795,0.9933079,0.047701336,0.10518559,-0.04828972,0.9988287,0.003052658
MN19050230,1868.2062,2512.7561848958335,79.224724,10.633098,7.829235,-0.057510167,-0.015518813,-0.9982243,-0.93107456,-0.3599876,0.059238024,0.36026767,-0.932828,-0.0062537757
