Specimen,BreakNo,Count,Mean,Median,STD,Max,Min,Range,ArcLength,EuclideanLength,ArcAngle,interior_edge,Interrupted,Interruptedby,ridge_notch,interior_notch,Species,Common,SzCl,SizeRangeLb,SizeRangeKg,SkelPort,LPort,Element,Side,ActorTaxon,Effector,trab,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3
MN10AA0307,7,18,89.45543716666666,91.403332,16.52824531914975,116.819496,66.133408,50.686088,49.03189401426957,47.28557365254227,14.491687912482973,endosteal,False,Not_interrupted,False,True,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2791.924,6137.978515625,61.617096,24.310425,13.651522
MN10AA0307,8,1,126.763184,126.763184,0.0,126.763184,126.763184,0.0,4.379125248932663,4.305958802636175,55.24884586814186,endosteal,False,Not_interrupted,False,True,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2791.924,6137.978515625,61.617096,24.310425,13.651522
MN10AA0307,9,3,149.16394533333334,145.296356,6.56159078468452,158.40274,143.79274,14.609999999999985,6.6157602386948176,5.7748853313291,47.28729606400628,endosteal,False,Not_interrupted,False,True,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2791.924,6137.978515625,61.617096,24.310425,13.651522
MN10AA0307,10,3,108.053248,107.135674,2.574460755843577,111.563316,105.460754,6.102562000000006,8.942666147119386,8.516921557699119,58.45283570888008,endosteal,False,Not_interrupted,False,True,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2791.924,6137.978515625,61.617096,24.310425,13.651522
MN10AA0308,1,25,82.82956448,75.591766,13.75999593829366,115.835258,67.991577,47.84368099999999,83.11632419995654,82.07830523810784,5.376909161255953,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2491.065,4272.618489583333,91.47065,13.667789,10.224865
MN10AA0308,2,26,101.5508621923077,97.714714,16.829517801816174,136.251968,75.047943,61.204025,80.07540323266878,79.68917553814947,5.101206970148062,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2491.065,4272.618489583333,91.47065,13.667789,10.224865
MN10AA0308,3,4,119.01072125000002,114.1060105,16.738898699217394,144.765732,103.065132,41.70060000000001,9.397930527032614,9.188253434684967,39.85852627587521,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2491.065,4272.618489583333,91.47065,13.667789,10.224865
MN10AA0308,4,4,102.346073,103.66472999999999,9.755899505497894,112.564445,89.490387,23.074058000000008,11.061683403501986,11.017357066919454,27.078847104983566,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2491.065,4272.618489583333,91.47065,13.667789,10.224865
MN10AA0308,5,4,76.42332474999999,76.38014999999999,11.881212045517607,91.111542,61.821457,29.290084999999998,11.585301945793052,9.872824935650378,61.38996599214064,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,False,2491.065,4272.618489583333,91.47065,13.667789,10.224865
MN10AA0403,1,27,94.11771196296296,96.64315,21.252477946207573,151.063416,47.156315,103.90710099999998,78.79640883761047,76.3521954857226,17.44731181038414,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,6964.7437,16603.479166666668,102.04968,28.943384,21.16525
MN10AA0403,2,6,127.71865200000002,126.218426,16.344646176126133,148.761627,102.551582,46.21004500000001,20.637465432155697,18.285760955180393,57.183752029511425,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,6964.7437,16603.479166666668,102.04968,28.943384,21.16525
MN10AA0403,3,1,69.84626,69.84626,0.0,69.84626,69.84626,0.0,8.60651983769538,7.799910307817647,34.76911388786822,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,6964.7437,16603.479166666668,102.04968,28.943384,21.16525
MN10AA0403,4,5,122.709816,132.085327,33.09045161223774,160.890732,83.527512,77.36322000000001,11.777015046128712,10.491973161422022,71.24988999651296,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,6964.7437,16603.479166666668,102.04968,28.943384,21.16525
MN10AA0403,5,23,86.65499204347827,85.054138,6.0404352540373285,103.026611,79.021553,24.005058000000005,69.18469125083433,66.77679448573436,18.001052585918536,endosteal,False,Not_interrupted,False,False,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,False,6964.7437,16603.479166666668,102.04968,28.943384,21.16525
